"","gamma1","gamma2","dgamma","sbs","nchains","est","var","mse"
"22",0.5,1.5,1,50,1,3.68522119205098e-06,3.45521027023494e-12,4.27268467259585e-12
"23",0.5,1.5,1,50,5,9.05830807850186e-05,7.97149834254368e-11,7.5911709395329e-09
"24",0.5,1.5,1,50,10,5.7167616598926e-05,5.02799369334636e-11,2.89646425344992e-09
"25",0.5,1.5,1,100,1,3.52388602812538e-06,2.88716461118712e-12,2.5694672394569e-12
"26",0.5,1.5,1,100,5,6.50224418961081e-05,5.70980852958194e-11,3.80216469194238e-09
"27",0.5,1.5,1,100,10,3.98034643223211e-05,3.50505922772187e-11,1.33599849816759e-09
"28",0.5,2,1.5,10,1,3.36311977404398e-06,3.03851053732328e-12,3.32936549445974e-12
"29",0.5,2,1.5,10,5,0.000325399767267164,3.00003741491154e-10,1.03634735013808e-07
"30",0.5,2,1.5,10,10,0.000244891409365865,2.05505602099455e-10,5.83683931511062e-08
"31",0.5,2,1.5,50,1,3.68522119205098e-06,3.45521027023494e-12,4.27268467259585e-12
"32",0.5,2,1.5,50,5,0.000242806336501456,2.0220001231754e-10,5.73863167062619e-08
"33",0.5,2,1.5,50,10,0.000160788823085438,1.3843512318821e-10,2.47683621733948e-08
"34",0.5,2,1.5,100,1,3.52388602812538e-06,2.88716461118712e-12,2.5694672394569e-12
"35",0.5,2,1.5,100,5,0.000173926819399934,1.43224984511786e-10,2.91087532771281e-08
"36",0.5,2,1.5,100,10,0.000116254955901598,9.75827039503894e-11,1.27317257223159e-08
"37",0.5,2.5,2,10,1,3.36311977404398e-06,3.03851053732328e-12,3.32936549445974e-12
"38",0.5,2.5,2,10,5,0.00064412960919123,5.81410991690636e-10,4.1072887233366e-07
"39",0.5,2.5,2,10,10,0.000514011954496005,4.27962237787096e-10,2.6089781929864e-07
"40",0.5,2.5,2,50,1,3.68522119205098e-06,3.45521027023494e-12,4.27268467259585e-12
"41",0.5,2.5,2,50,5,0.00042898342756756,3.16018899181726e-10,1.81131168508983e-07
"42",0.5,2.5,2,50,10,0.000322258346195797,2.61781800523062e-10,1.0173856439438e-07
"43",0.5,2.5,2,100,1,3.52388602812538e-06,2.88716461118712e-12,2.5694672394569e-12
"44",0.5,2.5,2,100,5,0.0002894163185632,2.14663731338537e-10,8.18345194510344e-08
"45",0.5,2.5,2,100,10,0.000225706142194925,1.75957908379977e-10,4.93595043476891e-08
"46",1,0.5,-0.5,10,1,3.59077605524047e-06,2.17647439993893e-13,4.5327172284193e-13
"47",1,0.5,-0.5,10,5,1.19230249635262e-07,2.91106468629035e-15,1.36466118055975e-11
"48",1,0.5,-0.5,10,10,1.48748491972939e-07,2.72227708324416e-15,1.34302625131265e-11
"49",1,0.5,-0.5,50,1,3.85490424570041e-06,2.44627579443231e-13,2.94932627092234e-13
"50",1,0.5,-0.5,50,5,1.22481801410236e-06,5.63123055484484e-14,6.74569422213868e-12
"51",1,0.5,-0.5,50,10,1.07761186977551e-06,4.04039099292019e-14,7.51967676557929e-12
"52",1,0.5,-0.5,100,1,3.70666121450794e-06,2.27659624569047e-13,2.72991426880197e-13
"53",1,0.5,-0.5,100,5,2.10147600212151e-06,1.09557296356391e-13,3.10012573413462e-12
"54",1,0.5,-0.5,100,10,1.98477818431471e-06,9.63110854720793e-14,3.43554058609177e-12
"55",1,1,0,10,1,3.59077605524047e-06,2.17647439993893e-13,4.5327172284193e-13
"56",1,1,0,10,5,3.76466520176398e-06,1.09621999505847e-13,2.05407567374204e-13
"57",1,1,0,10,10,3.83080027095517e-06,8.69501774883098e-14,1.81181036743184e-13
"58",1,1,0,50,1,3.85490424570041e-06,2.44627579443231e-13,2.94932627092234e-13
"59",1,1,0,50,5,3.80566788949809e-06,1.82328413798588e-13,2.79463735548743e-13
"60",1,1,0,50,10,3.76435784335842e-06,1.61264321144881e-13,1.8820808375953e-13
"61",1,1,0,100,1,3.70666121450794e-06,2.27659624569047e-13,2.72991426880197e-13
"62",1,1,0,100,5,3.87907903651621e-06,2.14831863712486e-13,3.94489213453347e-13
"63",1,1,0,100,10,3.78901304190036e-06,2.0114566872923e-13,3.05142501952011e-13
"64",1,1.5,0.5,10,1,3.59077605524047e-06,2.17647439993893e-13,4.5327172284193e-13
"65",1,1.5,0.5,10,5,2.02408381739847e-05,8.92992259475471e-13,2.73228538080849e-10
