"","gamma1","gamma2","dgamma","sbs","nchains","est","var","sample_var","mse"
"241",2,2,0,1,1,1.92179905725877e-09,6.82331741386439e-20,4.49812257584501e-18,4.50493334231467e-18
"242",2,2,0,1,2,1.90549559133887e-09,3.04621428533287e-20,3.79314470413969e-18,3.80417733820277e-18
"243",2,2,0,1,5,1.5233756532786e-09,9.08871180381875e-21,2.66395652651783e-18,2.61830557788264e-18
"244",2,2,0,1,10,2.04417520065879e-09,8.24155241026236e-21,4.2960550596051e-18,4.39802160267732e-18
"245",2,2,0,10,1,1.84701252406759e-09,6.76044925211796e-20,4.60471996587376e-18,4.56846203121883e-18
"246",2,2,0,10,2,1.49470729238504e-09,2.08933968606142e-20,2.64833108124901e-18,2.60882227495877e-18
"247",2,2,0,10,5,1.47598464564361e-09,1.79967508074174e-20,3.62643400246358e-18,3.57205762228307e-18
"248",2,2,0,10,10,1.80456798887392e-09,1.68773272464725e-20,4.03088587514601e-18,3.98784709363894e-18
"249",2,2,0,50,1,1.67518839178947e-09,5.41147922488185e-20,4.04385463068932e-18,3.96713434125826e-18
"250",2,2,0,50,2,2.32714155951751e-09,5.74098711794574e-20,5.14175594350968e-18,5.55218767240724e-18
"251",2,2,0,50,5,1.90892202033748e-09,5.21072564092929e-20,5.68374761166747e-18,5.65900001672776e-18
"252",2,2,0,50,10,1.53449667052053e-09,3.00550461083446e-20,3.52563306453822e-18,3.46092965480679e-18
"253",2,2,0,100,1,1.99689081303286e-09,6.02654844524792e-20,3.65810527093404e-18,3.73407483384551e-18
"254",2,2,0,100,2,1.83979393101342e-09,3.87428564073777e-20,3.2156885468385e-18,3.2038518790049e-18
"255",2,2,0,100,5,2.1698151149766e-09,6.53376833747179e-20,5.70796912373665e-18,5.90640254917842e-18
"256",2,2,0,100,10,2.45663984315083e-09,8.44790858453637e-20,8.45561478698826e-18,9.00209113383279e-18
