"","gamma1","gamma2","dgamma","sbs","nchains","est","var","sample_var","mse"
"36",0.5,1.5,1,1,10,1.15950147509417e-07,1.3803912402301e-14,1.15814120721125e-14,2.44232896305268e-14
"37",0.5,1.5,1,10,1,0,0,0,2.59440318761643e-18
"38",0.5,1.5,1,10,2,1.1939102662165e-08,9.38777253548424e-16,8.11105342606796e-16,9.01558825041088e-16
"39",0.5,1.5,1,10,5,1.74345476319128e-07,1.98017761018224e-14,1.65268502667711e-14,4.6033610989047e-14
"40",0.5,1.5,1,10,10,9.77581463545371e-08,9.98105312224453e-15,8.59809790565136e-15,1.76704644811461e-14
"41",0.5,1.5,1,50,1,0,0,0,2.59440318761643e-18
"42",0.5,1.5,1,50,2,9.94806395923265e-08,1.15661432131569e-14,1.13589056231915e-14,2.07102496275651e-14
"43",0.5,1.5,1,50,5,2.93582965291094e-07,3.34497801454758e-14,3.74732246712115e-14,1.21971555049604e-13
"44",0.5,1.5,1,50,10,1.16547580700018e-07,1.23688743607518e-14,1.07961650259094e-14,2.37907247954768e-14
"45",0.5,1.5,1,100,1,4.99161904045551e-10,1.24760959827442e-17,1.2458130322519e-17,1.3444518260942e-17
"46",0.5,1.5,1,100,2,2.14325062542078e-07,2.80187749352547e-14,3.04953866148115e-14,7.51328724830602e-14
"47",0.5,1.5,1,100,5,3.52402611883505e-07,4.74891930332212e-14,4.94018913413206e-14,1.71468808351649e-13
"48",0.5,1.5,1,100,10,1.07606574442226e-07,9.79096715103058e-15,8.61578646983086e-15,1.96785929345613e-14
"49",0.5,2,1.5,1,1,0,0,0,2.59440318761643e-18
"50",0.5,2,1.5,1,2,2.54700103501557e-08,3.32552107310113e-15,2.97380974554592e-15,3.48359951966553e-15
"51",0.5,2,1.5,1,5,2.6255476121856e-07,3.03126439820362e-14,3.38995434714589e-14,1.01313347797967e-13
"52",0.5,2,1.5,1,10,2.70549483454716e-07,2.51079448655166e-14,2.30997346472198e-14,9.4965801069369e-14
"53",0.5,2,1.5,10,1,0,0,0,2.59440318761643e-18
"54",0.5,2,1.5,10,2,2.9632790416259e-08,2.94519994669367e-15,3.28192957440957e-15,4.0015276870077e-15
"55",0.5,2,1.5,10,5,8.52231188994558e-07,9.54654512661971e-14,1.12390776632694e-13,8.33698151679993e-13
"56",0.5,2,1.5,10,10,4.52813771633684e-07,5.39578287624801e-14,6.36109122484328e-14,2.65922892213606e-13
"57",0.5,2,1.5,50,1,0,0,0,2.59440318761643e-18
"58",0.5,2,1.5,50,2,4.5047226886395e-07,5.69146994658125e-14,6.67587784163061e-14,2.6690029728025e-13
"59",0.5,2,1.5,50,5,2.57552548942379e-06,3.13315503813386e-13,2.90799130905553e-13,6.91002041368305e-12
"60",0.5,2,1.5,50,10,8.88581070361621e-07,1.10969407107125e-13,9.47819921374758e-14,8.79602763377779e-13
"61",0.5,2,1.5,100,1,4.99161904045551e-10,1.24760959827442e-17,1.2458130322519e-17,1.3444518260942e-17
"62",0.5,2,1.5,100,2,1.37939504482472e-06,1.79351340297788e-13,2.40832530062445e-13,2.1343055386498e-12
"63",0.5,2,1.5,100,5,2.80191182461126e-06,3.52043126595484e-13,3.72249451213821e-13,8.20649076602523e-12
"64",0.5,2,1.5,100,10,9.77638451342982e-07,1.1642303856971e-13,1.04615406413034e-13,1.0551532401675e-12
"65",1,0.5,-0.5,1,1,1.52460481371857e-09,2.18676271359112e-18,1.90819135342496e-18,1.8774425106601e-18
"66",1,0.5,-0.5,1,2,3.74384275348254e-12,7.0182856588845e-22,7.00817928140187e-22,2.58304347730836e-18
"67",1,0.5,-0.5,1,5,0,0,0,2.59440318761643e-18
"68",1,0.5,-0.5,1,10,0,0,0,2.59440318761643e-18
"69",1,0.5,-0.5,10,1,1.41760366513938e-09,2.65250595855731e-18,2.51749219663203e-18,2.50443438547725e-18
"70",1,0.5,-0.5,10,2,7.74853765315241e-12,3.0063209099881e-21,3.00199178811603e-21,2.57244380594188e-18
"71",1,0.5,-0.5,10,5,3.45379532946732e-12,5.97295217932583e-22,5.96435108892512e-22,2.58387346203004e-18
"72",1,0.5,-0.5,10,10,3.27288224638769e-11,2.61780566771639e-20,2.55808002893863e-20,2.51510992952203e-18
"73",1,0.5,-0.5,50,1,1.72489639116175e-09,3.07428487230236e-18,3.28400663883269e-18,3.2313638694618e-18
"74",1,0.5,-0.5,50,2,4.11404668815134e-11,2.39182173063408e-20,2.26441192867014e-20,2.48575581869282e-18
"75",1,0.5,-0.5,50,5,2.86420669868169e-10,3.03670216146708e-19,3.04557410012882e-19,2.05222204409267e-18
"76",1,0.5,-0.5,50,10,2.65284318371125e-10,2.85127443846599e-19,4.64846409597755e-19,2.26573351487401e-18
"77",1,0.5,-0.5,100,1,1.14168577022652e-09,1.60061075730019e-18,1.46820529232337e-18,1.65882971446144e-18
"78",1,0.5,-0.5,100,2,5.22439750889558e-10,1.04767914115711e-18,9.04095657238502e-19,2.07035701622799e-18
"79",1,0.5,-0.5,100,5,7.45775353665658e-10,1.10855416128363e-18,8.98637105481084e-19,1.6287851572913e-18
"80",1,0.5,-0.5,100,10,7.8546920853904e-10,1.47732124643545e-18,1.37301463368403e-18,2.02658515017759e-18
"81",1,1,0,1,1,1.52460481371857e-09,2.18676271359112e-18,1.90819135342496e-18,1.8774425106601e-18
"82",1,1,0,1,2,1.75403025072625e-09,1.76333069411736e-18,1.56985749264821e-18,1.55899957039612e-18
"83",1,1,0,1,5,1.59596794917029e-09,8.67084514782904e-19,7.32166945927015e-19,7.17741085962749e-19
"84",1,1,0,1,10,1.58436225787818e-09,5.49382294896962e-19,7.49499870099913e-19,7.35204345873369e-19
"85",1,1,0,10,1,1.41760366513938e-09,2.65250595855731e-18,2.51749219663203e-18,2.50443438547725e-18
"86",1,1,0,10,2,1.70733636397077e-09,1.7507791815398e-18,1.67138648121114e-18,1.64729441698405e-18
"87",1,1,0,10,5,1.87765372966845e-09,2.25216588951481e-18,2.4117294854079e-18,2.4347511187186e-18
"88",1,1,0,10,10,1.536987298547e-09,1.3333408810388e-18,2.02823654654452e-18,1.99310760680386e-18
"89",1,1,0,50,1,1.72489639116175e-09,3.07428487230236e-18,3.28400663883269e-18,3.2313638694618e-18
"90",1,1,0,50,2,2.03169830379327e-09,3.49456427038962e-18,2.08071613247264e-18,2.21632865352065e-18
"91",1,1,0,50,5,1.4270270897879e-09,2.75633895478028e-18,3.27835800363618e-18,3.2465321348457e-18
"92",1,1,0,50,10,1.47716233690699e-09,2.21573733319384e-18,2.29415833765991e-18,2.26611151593451e-18
