"","gamma1","omega","sbs","nchains","est","var","mse"
"25",0.5,1.5,50,1,3.68522119205098e-06,3.45521027023494e-12,4.27268467259585e-12
"26",0.5,1.5,50,2,1.02667860801361e-05,9.045168580899e-12,4.96346229549572e-11
"27",0.5,1.5,50,5,0.000158270455399762,1.3449198669127e-10,2.40037310044635e-08
"28",0.5,1.5,50,10,0.000886764602812151,5.2541781631175e-10,7.80544754579054e-07
"29",0.5,1.5,100,1,3.52388602812538e-06,2.88716461118712e-12,2.5694672394569e-12
"30",0.5,1.5,100,2,7.86895160371551e-06,6.46252604253245e-12,2.29479126403993e-11
"31",0.5,1.5,100,5,0.000128097161993497,1.12114773159865e-10,1.5561413903256e-08
"32",0.5,1.5,100,10,0.000548902552359741,3.06401255939194e-10,2.97541778247011e-07
"33",1,1.5,1,1,3.75440641226961e-06,2.28565748373377e-13,2.77185269565577e-13
"34",1,1.5,1,2,1.3582390557425e-05,8.17177640906503e-13,9.69990779941542e-11
"35",1,1.5,1,5,0.000135040403530003,3.8038195561594e-12,1.73322673354387e-08
"36",1,1.5,1,10,7.90209652017641e-05,1.8340518531524e-12,5.68420994658175e-09
"37",1,1.5,10,1,3.59077605524047e-06,2.17647439993893e-13,4.5327172284193e-13
"38",1,1.5,10,2,1.31794341927581e-05,7.77490695384267e-13,8.90456138801657e-11
"39",1,1.5,10,5,9.16672666134688e-05,2.36632597484858e-12,7.77186224433154e-09
"40",1,1.5,10,10,0.000117346946080931,1.032276895314e-12,1.29693726862309e-08
"41",1,1.5,50,1,3.85490424570041e-06,2.44627579443231e-13,2.94932627092234e-13
"42",1,1.5,50,2,1.24468336824544e-05,7.09559922794485e-13,7.71229021361547e-11
"43",1,1.5,50,5,4.45709485182904e-05,1.56940757940219e-12,1.67428928268564e-09
"44",1,1.5,50,10,6.79899166951755e-05,1.36273513633211e-12,4.13822423288879e-09
"45",1,1.5,100,1,3.70666121450794e-06,2.27659624569047e-13,2.72991426880197e-13
"46",1,1.5,100,2,1.06363838514179e-05,6.10666314519627e-13,4.75313555293851e-11
"47",1,1.5,100,5,2.7588629928548e-05,1.14189855587588e-12,5.71129256439589e-10
"48",1,1.5,100,10,4.14702808333719e-05,1.16511146402218e-12,1.42557217213894e-09
"49",1.5,1.5,1,1,3.75546611424374e-06,4.22223215798222e-14,1.85578581443944e-12
"50",1.5,1.5,1,2,1.18076672853916e-05,8.19692126758678e-14,7.4916285526765e-11
"51",1.5,1.5,1,5,6.51086276985639e-06,4.33682209698235e-14,1.17924116677486e-11
"52",1.5,1.5,1,10,3.8132251869531e-07,9.47792203454296e-17,1.17892264736928e-11
"53",1.5,1.5,10,1,3.84951837794424e-06,4.47038592544417e-14,1.54251971447504e-12
"54",1.5,1.5,10,2,1.07467548056821e-05,7.0904017965964e-14,6.08449729072359e-11
"55",1.5,1.5,10,5,9.659360119488e-06,3.10787324549906e-14,5.19377902030102e-11
"56",1.5,1.5,10,10,3.19646494639841e-06,7.69452004211212e-15,1.94499273372299e-12
"57",1.5,1.5,50,1,3.87262467227883e-06,4.37257732531189e-14,1.50097362205571e-12
"58",1.5,1.5,50,2,9.02930251399469e-06,6.0609874372212e-14,3.75965934064093e-11
